"","B_mes","fec_ini_cdto","id_sucursal","B_adeudo","ventas_tot","no_clientes","adeudo_actual","pagos_tot","no_cdtos"
"218",2020-01-15,2020-01-07,10,"Con adeudo",25763,5,13755.78,12108.07,19
"219",2020-01-15,2020-01-07,10,"Sin adeudo",314781,39,0,322197.49,103
"220",2020-01-15,2020-01-07,11,"Con adeudo",15646,2,8481.42,7290,10
"221",2020-01-15,2020-01-07,11,"Sin adeudo",245316,34,0,252223.28,100
"222",2020-01-15,2020-01-07,12,"Sin adeudo",212538,25,0,217765.76,82
"223",2020-01-15,2020-01-07,13,"Con adeudo",11033,1,725.95,10447.37,5
"224",2020-01-15,2020-01-07,13,"Sin adeudo",164910,24,0,169850.89,71
"225",2020-01-15,2020-01-07,14,"Con adeudo",40786,6,23419.83,17530.01,21
"226",2020-01-15,2020-01-07,14,"Sin adeudo",223611,29,0,229644.7,87
"227",2020-01-15,2020-01-07,15,"Con adeudo",10135,1,4718.85,5471.43,3
"228",2020-01-15,2020-01-07,15,"Sin adeudo",297330,37,0,305042.73,118
"229",2020-01-15,2020-01-07,16,"Con adeudo",27597,4,16887.32,10867.81,11
"230",2020-01-15,2020-01-07,16,"Sin adeudo",192587,28,0,197538.68,90
"231",2020-01-15,2020-01-07,17,"Con adeudo",10299,1,935.8,9387.88,4
"232",2020-01-15,2020-01-07,17,"Sin adeudo",230344,31,0,236665.31,98
"233",2020-01-15,2020-01-08,1,"Con adeudo",6331,1,517.71,5872.77,3
"234",2020-01-15,2020-01-08,1,"Sin adeudo",262298,33,0,268786,103
"235",2020-01-15,2020-01-08,2,"Con adeudo",20844,5,15245.58,5642.96,7
"236",2020-01-15,2020-01-08,2,"Sin adeudo",269892,39,0,278484.72,114
"237",2020-01-15,2020-01-08,3,"Sin adeudo",216381,29,0,221449.2,83
"238",2020-01-15,2020-01-08,4,"Con adeudo",10542,2,7732.82,2827.25,6
"239",2020-01-15,2020-01-08,4,"Sin adeudo",273619,37,0,280892.7,118
"240",2020-01-15,2020-01-08,5,"Sin adeudo",234354,29,0,240832.73,94
"241",2020-01-15,2020-01-08,6,"Con adeudo",14162,2,7820.03,6401.95,5
"242",2020-01-15,2020-01-08,6,"Sin adeudo",308391,40,0,316252.29,126
"243",2020-01-15,2020-01-08,7,"Con adeudo",26479,2,19273.4,7228.11,9
"244",2020-01-15,2020-01-08,7,"Sin adeudo",203029,29,0,208685.19,92
"245",2020-01-15,2020-01-08,8,"Con adeudo",21812,4,13681.17,8202.23,13
"246",2020-01-15,2020-01-08,8,"Sin adeudo",254620,30,0,261447.6,92
"247",2020-01-15,2020-01-08,9,"Con adeudo",30920,5,14089.26,16905.8,12
"248",2020-01-15,2020-01-08,9,"Sin adeudo",216180,24,0,221954.28,74
"249",2020-01-15,2020-01-08,10,"Con adeudo",56056,8,35771.22,20547.7,22
"250",2020-01-15,2020-01-08,10,"Sin adeudo",158782,22,0,162681.65,78
"251",2020-01-15,2020-01-08,11,"Con adeudo",37553,4,16850.03,20993.63,14
"252",2020-01-15,2020-01-08,11,"Sin adeudo",253423,35,0,259284.29,99
"253",2020-01-15,2020-01-08,12,"Con adeudo",14153,1,2509.21,11674.84,2
"254",2020-01-15,2020-01-08,12,"Sin adeudo",252384,34,0,258873.51,108
"255",2020-01-15,2020-01-08,13,"Con adeudo",11497,2,2491.09,9055.79,5
"256",2020-01-15,2020-01-08,13,"Sin adeudo",227529,27,0,233989.21,84
"257",2020-01-15,2020-01-08,14,"Con adeudo",20562,6,13562.22,7035.8,13
"258",2020-01-15,2020-01-08,14,"Sin adeudo",186507,21,0,191489.01,59
"259",2020-01-15,2020-01-08,15,"Con adeudo",11106,4,6269.1,4889.16,7
"260",2020-01-15,2020-01-08,15,"Sin adeudo",245136,37,0,251700.4,110
"261",2020-01-15,2020-01-08,16,"Con adeudo",32816,3,27344.08,5540.16,10
"262",2020-01-15,2020-01-08,16,"Sin adeudo",222242,29,0,229409.06,98
"263",2020-01-15,2020-01-08,17,"Con adeudo",74462,7,38454.58,36520.1,23
"264",2020-01-15,2020-01-08,17,"Sin adeudo",257600,35,0,261852.98,102
"265",2020-01-15,2020-01-09,1,"Con adeudo",16904,2,14848.71,2073.48,2
"266",2020-01-15,2020-01-09,1,"Sin adeudo",187063,23,0,191890.76,57
"267",2020-01-15,2020-01-09,2,"Con adeudo",18220,2,10111.36,8116.08,4
"268",2020-01-15,2020-01-09,2,"Sin adeudo",344064,39,0,353036.71,130
"269",2020-01-15,2020-01-09,3,"Con adeudo",34311,4,26727.15,7640.72,11
"270",2020-01-15,2020-01-09,3,"Sin adeudo",168326,24,0,171621.54,76
"271",2020-01-15,2020-01-09,4,"Con adeudo",75084,8,48789.04,26531.87,22
"272",2020-01-15,2020-01-09,4,"Sin adeudo",231719,29,0,237547.26,87
"273",2020-01-15,2020-01-09,5,"Con adeudo",2147,1,1893.61,256.81,4
"274",2020-01-15,2020-01-09,5,"Sin adeudo",301957,40,0,309514.09,95
"275",2020-01-15,2020-01-09,6,"Sin adeudo",235695,29,0,240612.34,88
"276",2020-01-15,2020-01-09,7,"Con adeudo",13700,3,5503.43,8296.07,14
"277",2020-01-15,2020-01-09,7,"Sin adeudo",164242,23,0,167739.33,77
"278",2020-01-15,2020-01-09,8,"Con adeudo",29869,4,20745.41,9194.5,12
"279",2020-01-15,2020-01-09,8,"Sin adeudo",254047,34,0,259245.58,104
"280",2020-01-15,2020-01-09,9,"Con adeudo",36797,4,25641.59,11248.79,15
"281",2020-01-15,2020-01-09,9,"Sin adeudo",232265,29,0,236585.05,84
"282",2020-01-15,2020-01-09,10,"Con adeudo",27165,4,16873.37,10380.58,13
"283",2020-01-15,2020-01-09,10,"Sin adeudo",119906,20,0,123318.35,64
"284",2020-01-15,2020-01-09,11,"Con adeudo",21634,4,10612.35,11205.51,13
"285",2020-01-15,2020-01-09,11,"Sin adeudo",170258,26,0,174866.86,72
"286",2020-01-15,2020-01-09,12,"Con adeudo",38700,5,28107.79,10719.27,19
"287",2020-01-15,2020-01-09,12,"Sin adeudo",190753,24,0,195142.96,76
"288",2020-01-15,2020-01-09,13,"Con adeudo",15772,3,13425.36,2370.94,6
"289",2020-01-15,2020-01-09,13,"Sin adeudo",286113,41,0,292420.56,124
"290",2020-01-15,2020-01-09,14,"Con adeudo",23167,3,9599.68,13701.92,11
"291",2020-01-15,2020-01-09,14,"Sin adeudo",266041,34,0,271513.23,108
"292",2020-01-15,2020-01-09,15,"Con adeudo",73866,7,55739.12,18395.05,23
"293",2020-01-15,2020-01-09,15,"Sin adeudo",193600,30,0,198462.75,92
"294",2020-01-15,2020-01-09,16,"Con adeudo",38909,4,18964.68,20165.36,12
"295",2020-01-15,2020-01-09,16,"Sin adeudo",172640,30,0,177141.04,103
"296",2020-01-15,2020-01-09,17,"Con adeudo",10313,3,7636.12,2691.07,7
"297",2020-01-15,2020-01-09,17,"Sin adeudo",222397,30,0,228016.94,84
"298",2020-01-15,2020-01-10,1,"Con adeudo",19533,3,9341.06,10308.15,7
"299",2020-01-15,2020-01-10,1,"Sin adeudo",159647,25,0,164115.04,73
"300",2020-01-15,2020-01-10,2,"Con adeudo",26880,3,10419.32,16704.24,9
"301",2020-01-15,2020-01-10,2,"Sin adeudo",185938,22,0,191064.21,68
"302",2020-01-15,2020-01-10,3,"Con adeudo",31886,3,21735.56,10312.47,11
"303",2020-01-15,2020-01-10,3,"Sin adeudo",218630,29,0,224881.64,81
"304",2020-01-15,2020-01-10,4,"Con adeudo",35441,4,17379.46,18202.56,14
"305",2020-01-15,2020-01-10,4,"Sin adeudo",252701,29,0,258590.19,87
"306",2020-01-15,2020-01-10,5,"Con adeudo",18350,3,10565.26,7827.32,11
"307",2020-01-15,2020-01-10,5,"Sin adeudo",193762,24,0,199262.38,65
"308",2020-01-15,2020-01-10,6,"Con adeudo",23931,5,10476.68,13520.99,19
"309",2020-01-15,2020-01-10,6,"Sin adeudo",218345,30,0,223848.32,96
"310",2020-01-15,2020-01-10,7,"Con adeudo",47296,6,28825.79,18581.83,26
"311",2020-01-15,2020-01-10,7,"Sin adeudo",201498,28,0,206744.99,88
"312",2020-01-15,2020-01-10,8,"Con adeudo",22607,2,22297.23,312.59,2
"313",2020-01-15,2020-01-10,8,"Sin adeudo",278428,32,0,285117.35,99
"314",2020-01-15,2020-01-10,9,"Con adeudo",18033,3,14828.02,3263.02,7
"315",2020-01-15,2020-01-10,9,"Sin adeudo",281792,33,0,289238.15,107
"316",2020-01-15,2020-01-10,10,"Con adeudo",17637,3,10077.76,7661.17,8
"317",2020-01-15,2020-01-10,10,"Sin adeudo",186300,26,0,191323.85,58
"318",2020-01-15,2020-01-10,11,"Con adeudo",18664,3,10392.01,8342.96,6
"319",2020-01-15,2020-01-10,11,"Sin adeudo",247885,31,0,254401.53,79
"320",2020-01-15,2020-01-10,12,"Con adeudo",25359,2,14059.5,11467.46,8
"321",2020-01-15,2020-01-10,12,"Sin adeudo",207310,33,0,212495.67,100
"322",2020-01-15,2020-01-10,13,"Con adeudo",3189,1,2288.23,914.64,1
"323",2020-01-15,2020-01-10,13,"Sin adeudo",150728,26,0,153600.74,73
