"","id_cliente","ventas_mensuales","B_proceso"
"150","150",86734,"Orden"
"151","151",193817,"Orden"
"152","152",135395,"Orden"
"153","153",246663,"Orden"
"154","154",155303,"Orden"
"155","155",231159,"Orden"
"156","156",115132,"Orden"
"157","157",94367,"Orden"
"158","158",25306,"Orden"
"159","159",203028,"Orden"
"160","160",12060,"Orden"
"161","161",240485,"Orden"
"162","162",151085,"Orden"
"163","163",175872,"Orden"
"164","164",151840,"Orden"
"165","165",85125,"Orden"
"166","166",213853,"Orden"
"167","167",142529,"Orden"
"168","168",81523,"Orden"
"169","169",215379,"Orden"
"170","170",118062,"Orden"
"171","171",131325,"Orden"
"172","172",116230,"Orden"
"173","173",51945,"Orden"
"174","174",117963,"Orden"
"175","175",128465,"Orden"
"176","176",108924,"Orden"
"177","177",88198,"Orden"
"178","178",123481,"Orden"
"179","179",200071,"Orden"
"180","180",39867,"Orden"
"181","181",64662,"Orden"
"182","182",113947,"Orden"
"183","183",132632,"Orden"
"184","184",203268,"Orden"
"185","185",72947,"Orden"
"186","186",188067,"Orden"
"187","187",155001,"Orden"
"188","188",49867,"Orden"
"189","189",112105,"Orden"
"190","190",106023,"Orden"
"191","191",184022,"Orden"
"192","192",74687,"Orden"
"193","193",118478,"Orden"
"194","194",117778,"Orden"
"195","195",40935,"Orden"
"196","196",137567,"Orden"
"197","197",116329,"Orden"
"198","198",20146,"Orden"
"199","199",77108,"Orden"
"200","200",29504,"Orden"
"201","201",23039,"Orden"
"202","202",127682,"Orden"
"203","203",90204,"Orden"
"204","204",141835,"Orden"
"205","205",49345,"Orden"
"206","206",124317,"Orden"
"207","207",48841,"Orden"
"208","208",25613,"Orden"
"209","209",78689,"Orden"
"210","210",26190,"Orden"
"211","211",114204,"Orden"
"212","212",15661,"Orden"
"213","213",189469,"Orden"
"214","214",241295,"Orden"
"215","215",169944,"Orden"
"216","216",119418,"Orden"
"217","217",52418,"Orden"
"218","218",132092,"Orden"
"219","219",52283,"Orden"
"220","220",230485,"Orden"
"221","221",74488,"Orden"
"222","222",35323,"Orden"
"223","223",75031,"Orden"
"224","224",121871,"Orden"
"225","225",64697,"Orden"
"226","226",236326,"Orden"
"227","227",188708,"Orden"
"228","228",188252,"Orden"
"229","229",133913,"Orden"
"230","230",138976,"Orden"
"231","231",181646,"Orden"
"232","232",233311,"Orden"
"233","233",126576,"Orden"
"234","234",63900,"Orden"
"235","235",14398,"Orden"
"236","236",2543,"Orden"
"237","237",157634,"Orden"
"238","238",46018,"Orden"
"239","239",84722,"Orden"
"240","240",113803,"Orden"
"241","241",49450,"Orden"
"242","242",208165,"Orden"
"243","243",51548,"Orden"
"244","244",81689,"Orden"
"245","245",181663,"Orden"
"246","246",46872,"Orden"
"247","247",143366,"Orden"
"248","248",67450,"Orden"
"249","249",146689,"Orden"
"250","250",194736,"Orden"
"251","251",195457,"Orden"
"252","252",12215,"Orden"
"253","253",866,"Orden"
"254","254",114612,"Orden"
"255","255",196288,"Orden"
"256","256",99228,"Orden"
"257","257",205989,"Orden"
"258","258",227646,"Orden"
"259","259",82109,"Orden"
"260","260",153206,"Orden"
"261","261",106853,"Orden"
"262","262",71563,"Orden"
"263","263",148308,"Orden"
"264","264",86687,"Orden"
"265","265",207927,"Orden"
"266","266",195102,"Orden"
"267","267",54741,"Orden"
"268","268",192411,"Orden"
"269","269",41728,"Orden"
"270","270",197018,"Orden"
"271","271",25729,"Orden"
"272","272",1587,"Orden"
"273","273",4174,"Orden"
"274","274",45727,"Orden"
"275","275",61137,"Orden"
"276","276",191166,"Orden"
"277","277",60167,"Orden"
"278","278",133615,"Orden"
"279","279",69966,"Orden"
"280","280",40912,"Orden"
"281","281",203633,"Orden"
"282","282",229543,"Orden"
"283","283",10039,"Orden"
"284","284",225748,"Orden"
"285","285",161871,"Orden"
"286","286",86755,"Orden"
"287","287",134034,"Orden"
"288","288",220167,"Orden"
"289","289",169311,"Orden"
"290","290",89343,"Orden"
"291","291",55597,"Orden"
"292","292",200590,"Orden"
"293","293",109618,"Orden"
"294","294",97644,"Orden"
"295","295",154282,"Orden"
"296","296",7549,"Orden"
"297","297",124890,"Orden"
"298","298",53622,"Orden"
"299","299",73577,"Orden"
"300","300",131275,"Orden"
"301","301",103248,"Orden"
"302","302",42445,"Orden"
"303","303",34647,"Orden"
"304","304",249191,"Orden"
"305","305",238077,"Orden"
"306","306",29798,"Orden"
"307","307",4401,"Orden"
"308","308",92775,"Orden"
"309","309",40093,"Orden"
"310","310",51559,"Orden"
"311","311",101347,"Orden"
"312","312",46832,"Orden"
"313","313",3978,"Orden"
"314","314",79767,"Orden"
"315","315",110656,"Orden"
"316","316",223458,"Orden"
"317","317",206636,"Orden"
"318","318",237511,"Orden"
"319","319",37723,"Orden"
"320","320",154547,"Orden"
"321","321",170864,"Orden"
"322","322",216893,"Orden"
"323","323",74217,"Orden"
"324","324",7809,"Orden"
"325","325",188565,"Orden"
"326","326",78728,"Orden"
"327","327",234324,"Orden"
"328","328",182297,"Orden"
"329","329",75231,"Orden"
"330","330",122844,"Orden"
"331","331",47382,"Orden"
"332","332",216443,"Orden"
"333","333",120264,"Orden"
"334","334",95465,"Orden"
"335","335",208321,"Orden"
"336","336",168250,"Orden"
"337","337",142640,"Orden"
"338","338",11628,"Orden"
"339","339",50316,"Orden"
"340","340",247646,"Orden"
"341","341",179931,"Orden"
"342","342",227203,"Orden"
"343","343",100600,"Orden"
"344","344",98610,"Orden"
"345","345",230510,"Orden"
"346","346",433,"Orden"
"347","347",94778,"Orden"
"348","348",236232,"Orden"
"349","349",97628,"Orden"
"350","350",201174,"Orden"
"351","351",19208,"Orden"
"352","352",100015,"Orden"
"353","353",202705,"Orden"
"354","354",16486,"Orden"
"355","355",42417,"Orden"
"356","356",157999,"Orden"
"357","357",37100,"Orden"
"358","358",99872,"Orden"
"359","359",249287,"Orden"
"360","360",156077,"Orden"
"361","361",113249,"Orden"
"362","362",236647,"Orden"
"363","363",64237,"Orden"
"364","364",53656,"Orden"
"365","365",209321,"Orden"
"366","366",87844,"Orden"
"367","367",220269,"Orden"
"368","368",73207,"Orden"
"369","369",120405,"Orden"
"370","370",78738,"Orden"
"371","371",138842,"Orden"
"372","372",121818,"Orden"
"373","373",84400,"Orden"
"374","374",171220,"Orden"
"375","375",76828,"Orden"
"376","376",236905,"Orden"
"377","377",208872,"Orden"
"378","378",177089,"Orden"
"379","379",88270,"Orden"
"380","380",50230,"Orden"
"381","381",90637,"Orden"
"382","382",81620,"Orden"
"383","383",3051,"Orden"
"384","384",58565,"Orden"
"385","385",105348,"Orden"
"386","386",94247,"Orden"
"387","387",54401,"Orden"
"388","388",155452,"Orden"
"389","389",134572,"Orden"
"390","390",46764,"Orden"
"391","391",81794,"Orden"
"392","392",98243,"Orden"
"393","393",12043,"Orden"
"394","394",200391,"Orden"
"395","395",27026,"Orden"
"396","396",135416,"Orden"
"397","397",143723,"Orden"
"398","398",47764,"Orden"
"399","399",221617,"Orden"
"400","400",2387,"Orden"
"401","401",170501,"Orden"
"402","402",226450,"Orden"
"403","403",162868,"Orden"
"404","404",20813,"Orden"
"405","405",188408,"Orden"
"406","406",34884,"Orden"
"407","407",73676,"Orden"
"408","408",116819,"Orden"
"409","409",33680,"Orden"
"410","410",195850,"Orden"
"411","411",102539,"Orden"
"412","412",138989,"Orden"
"413","413",71664,"Orden"
"414","414",87277,"Orden"
"415","415",83111,"Orden"
"416","416",56593,"Orden"
"417","417",223025,"Orden"
"418","418",42262,"Orden"
"419","419",21613,"Orden"
"420","420",122459,"Orden"
"421","421",155958,"Orden"
"422","422",41456,"Orden"
"423","423",125207,"Orden"
"424","424",226625,"Orden"
"425","425",169213,"Orden"
"426","426",65240,"Orden"
"427","427",196494,"Orden"
"428","428",181126,"Orden"
"429","429",228701,"Orden"
"430","430",92358,"Orden"
"431","431",83125,"Orden"
"432","432",145746,"Orden"
"433","433",4853,"Orden"
"434","434",9147,"Orden"
"435","435",163863,"Orden"
"436","436",213779,"Orden"
"437","437",147343,"Orden"
"438","438",51325,"Orden"
"439","439",193153,"Orden"
"440","440",61956,"Orden"
"441","441",153579,"Orden"
"442","442",149445,"Orden"
"443","443",241430,"Orden"
"444","444",106986,"Orden"
"445","445",221443,"Orden"
"446","446",229130,"Orden"
"447","447",98845,"Orden"
"448","448",54143,"Orden"
"449","449",137429,"Orden"
"450","450",182833,"Orden"
"451","451",128454,"Orden"
"452","452",51392,"Orden"
"453","453",225162,"Orden"
"454","454",119730,"Orden"
"455","455",20783,"Orden"
"456","456",43432,"Orden"
"457","457",87872,"Orden"
"458","458",39325,"Orden"
"459","459",89792,"Orden"
"460","460",204756,"Orden"
"461","461",176681,"Orden"
"462","462",168835,"Orden"
"463","463",98529,"Orden"
"464","464",33562,"Orden"
"465","465",154937,"Orden"
"466","466",37415,"Orden"
"467","467",3778,"Orden"
"468","468",248292,"Orden"
"469","469",65155,"Orden"
"470","470",82020,"Orden"
"471","471",163393,"Orden"
"472","472",16189,"Orden"
"473","473",121370,"Orden"
"474","474",46206,"Orden"
"475","475",163157,"Orden"
"476","476",150989,"Orden"
"477","477",142635,"Orden"
"478","478",124435,"Orden"
"479","479",96282,"Orden"
"480","480",102048,"Orden"
"481","481",203819,"Orden"
"482","482",25213,"Orden"
"483","483",47338,"Orden"
"484","484",190437,"Orden"
"485","485",92174,"Orden"
"486","486",159199,"Orden"
"487","487",58574,"Orden"
"488","488",23798,"Orden"
"489","489",129362,"Orden"
"490","490",113041,"Orden"
"491","491",90848,"Orden"
"492","492",199422,"Orden"
"493","493",168415,"Orden"
"494","494",158769,"Orden"
"495","495",229237,"Orden"
"496","496",12257,"Orden"
"497","497",38119,"Orden"
"498","498",10948,"Orden"
"499","499",98244,"Orden"
"500","500",191256,"Orden"
"501","501",13458,"Orden"
"502","502",83755,"Orden"
"503","503",100767,"Orden"
"504","504",65675,"Orden"
"505","505",8839,"Orden"
"506","506",4537,"Orden"
"507","507",17020,"Orden"
"508","508",80983,"Orden"
"509","509",195617,"Orden"
"510","510",181422,"Orden"
"511","511",83693,"Orden"
"512","512",151919,"Orden"
"513","513",105911,"Orden"
"514","514",26598,"Orden"
"515","515",26576,"Orden"
"516","516",112357,"Orden"
"517","517",39054,"Orden"
"518","518",207617,"Orden"
"519","519",232714,"Orden"
"520","520",149075,"Orden"
"521","521",229731,"Orden"
"522","522",184899,"Orden"
"523","523",215182,"Orden"
"524","524",171700,"Orden"
"525","525",78757,"Orden"
"526","526",13672,"Orden"
"527","527",235992,"Orden"
"528","528",127765,"Orden"
"529","529",106470,"Orden"
"530","530",160166,"Orden"
"531","531",182202,"Orden"
"532","532",156746,"Orden"
"533","533",209881,"Orden"
"534","534",204829,"Orden"
"535","535",164007,"Orden"
"536","536",228311,"Orden"
"537","537",219916,"Orden"
"538","538",6957,"Orden"
"539","539",73911,"Orden"
"540","540",242036,"Orden"
"541","541",150467,"Orden"
"542","542",36307,"Orden"
"543","543",193555,"Orden"
"544","544",143336,"Orden"
"545","545",12923,"Orden"
"546","546",51077,"Orden"
"547","547",1841,"Orden"
"548","548",223249,"Orden"
"549","549",210289,"Orden"
"550","550",36403,"Orden"
"551","551",135644,"Orden"
"552","552",151392,"Orden"
"553","553",154833,"Orden"
"554","554",132460,"Orden"
"555","555",143492,"Orden"
"556","556",242407,"Orden"
"557","557",164220,"Orden"
"558","558",104048,"Orden"
"559","559",53167,"Orden"
"560","560",233566,"Orden"
"561","561",97763,"Orden"
"562","562",41140,"Orden"
"563","563",217695,"Orden"
"564","564",153570,"Orden"
"565","565",19747,"Orden"
"566","566",215719,"Orden"
"567","567",83420,"Orden"
"568","568",83845,"Orden"
"569","569",155656,"Orden"
"570","570",102099,"Orden"
"571","571",14262,"Orden"
"572","572",192063,"Orden"
"573","573",31843,"Orden"
"574","574",205936,"Orden"
"575","575",24311,"Orden"
"576","576",218041,"Orden"
"577","577",78461,"Orden"
"578","578",68543,"Orden"
"579","579",195435,"Orden"
"580","580",163234,"Orden"
"581","581",43774,"Orden"
"582","582",158805,"Orden"
"583","583",32356,"Orden"
"584","584",141906,"Orden"
"585","585",131853,"Orden"
"586","586",149220,"Orden"
"587","587",191683,"Orden"
"588","588",216670,"Orden"
"589","589",216351,"Orden"
"590","590",170945,"Orden"
"591","591",207237,"Orden"
"592","592",207752,"Orden"
"593","593",166094,"Orden"
"594","594",236563,"Orden"
"595","595",17345,"Orden"
"596","596",51503,"Orden"
"597","597",5251,"Orden"
"598","598",88636,"Orden"
"599","599",53788,"Orden"
"600","600",184561,"Orden"
"601","601",201907,"Orden"
"602","602",243703,"Orden"
"603","603",90453,"Orden"
"604","604",90373,"Orden"
"605","605",152595,"Orden"
"606","606",245608,"Orden"
"607","607",19690,"Orden"
"608","608",145556,"Orden"
"609","609",73363,"Orden"
"610","610",1850,"Orden"
"611","611",107609,"Orden"
"612","612",121348,"Orden"
"613","613",244431,"Orden"
"614","614",233039,"Orden"
"615","615",201534,"Orden"
"616","616",199897,"Orden"
"617","617",203358,"Orden"
"618","618",1792,"Orden"
"619","619",54349,"Orden"
"620","620",80539,"Orden"
"621","621",176702,"Orden"
"622","622",214271,"Orden"
"623","623",148153,"Orden"
"624","624",62408,"Orden"
"625","625",19046,"Orden"
"626","626",29526,"Orden"
"627","627",49876,"Orden"
"628","628",4221,"Orden"
"629","629",11335,"Orden"
"630","630",53285,"Orden"
"631","631",58236,"Orden"
"632","632",87162,"Orden"
"633","633",135443,"Orden"
"634","634",181059,"Orden"
"635","635",72847,"Orden"
"636","636",200424,"Orden"
"637","637",82639,"Orden"
"638","638",131966,"Orden"
"639","639",209381,"Orden"
"640","640",230339,"Orden"
"641","641",180248,"Orden"
"642","642",174876,"Orden"
"643","643",139765,"Orden"
"644","644",170193,"Orden"
"645","645",172150,"Orden"
"646","646",121341,"Orden"
"647","647",239905,"Orden"
"648","648",151896,"Orden"
"649","649",149836,"Orden"
"650","650",197724,"Orden"
"651","651",103201,"Orden"
"652","652",118187,"Orden"
"653","653",76589,"Orden"
"654","654",105694,"Orden"
"655","655",4297,"Orden"
"656","656",36049,"Orden"
"657","657",243178,"Orden"
"658","658",49351,"Orden"
"659","659",21783,"Orden"
"660","660",185571,"Orden"
"661","661",151630,"Orden"
"662","662",69286,"Orden"
"663","663",178813,"Orden"
"664","664",39630,"Orden"
"665","665",35296,"Orden"
"666","666",219204,"Orden"
"667","667",13390,"Orden"
"668","668",143365,"Orden"
"669","669",170769,"Orden"
"670","670",207847,"Orden"
"671","671",244845,"Orden"
"672","672",189530,"Orden"
"673","673",81143,"Orden"
"674","674",76301,"Orden"
"675","675",205654,"Orden"
"676","676",78834,"Orden"
"677","677",25957,"Orden"
"678","678",238037,"Orden"
"679","679",215045,"Orden"
"680","680",75406,"Orden"
"681","681",229574,"Orden"
"682","682",35618,"Orden"
"683","683",133802,"Orden"
"684","684",57818,"Orden"
"685","685",102190,"Orden"
"686","686",43783,"Orden"
"687","687",77555,"Orden"
"688","688",34697,"Orden"
"689","689",137706,"Orden"
"690","690",72789,"Orden"
"691","691",208378,"Orden"
"692","692",229852,"Orden"
"693","693",161546,"Orden"
"694","694",18296,"Orden"
"695","695",224209,"Orden"
"696","696",49567,"Orden"
"697","697",244749,"Orden"
"698","698",224754,"Orden"
"699","699",29687,"Orden"
"700","700",1726,"Orden"
"701","701",66422,"Orden"
"702","702",63305,"Orden"
"703","703",127002,"Orden"
"704","704",12451,"Orden"
"705","705",15624,"Orden"
"706","706",203702,"Orden"
"707","707",189311,"Orden"
"708","708",200025,"Orden"
"709","709",163098,"Orden"
"710","710",159520,"Orden"
"711","711",143953,"Orden"
"712","712",153042,"Orden"
"713","713",110408,"Orden"
"714","714",106204,"Orden"
"715","715",158954,"Orden"
"716","716",188605,"Orden"
"717","717",62287,"Orden"
"718","718",89879,"Orden"
"719","719",242984,"Orden"
"720","720",218481,"Orden"
"721","721",225158,"Orden"
"722","722",11239,"Orden"
"723","723",34932,"Orden"
"724","724",210352,"Orden"
"725","725",190128,"Orden"
"726","726",142715,"Orden"
"727","727",85921,"Orden"
"728","728",191169,"Orden"
"729","729",223586,"Orden"
"730","730",202340,"Orden"
"731","731",43276,"Orden"
"732","732",29570,"Orden"
"733","733",124712,"Orden"
"734","734",49139,"Orden"
"735","735",82313,"Orden"
"736","736",160533,"Orden"
"737","737",51085,"Orden"
"738","738",73744,"Orden"
"739","739",92733,"Orden"
"740","740",92038,"Orden"
"741","741",14266,"Orden"
"742","742",246674,"Orden"
"743","743",105564,"Orden"
"744","744",137235,"Orden"
"745","745",162242,"Orden"
"746","746",46861,"Orden"
"747","747",110832,"Orden"
"748","748",85351,"Orden"
"749","749",28576,"Orden"
"750","750",179074,"Orden"
"751","751",214037,"Orden"
"752","752",91033,"Orden"
"753","753",83512,"Orden"
"754","754",226816,"Orden"
"755","755",47359,"Orden"
"756","756",116416,"Orden"
"757","757",43085,"Orden"
"758","758",177685,"Orden"
"759","759",52799,"Orden"
"760","760",42938,"Orden"
"761","761",126072,"Orden"
"762","762",18404,"Orden"
"763","763",81964,"Orden"
"764","764",49851,"Orden"
"765","765",141572,"Orden"
"766","766",10116,"Orden"
"767","767",153789,"Orden"
"768","768",180062,"Orden"
"769","769",36512,"Orden"
"770","770",35115,"Orden"
"771","771",180044,"Orden"
"772","772",219200,"Orden"
"773","773",223702,"Orden"
"774","774",234316,"Orden"
"775","775",41022,"Orden"
"776","776",75745,"Orden"
"777","777",234135,"Orden"
"778","778",132582,"Orden"
"779","779",109371,"Orden"
"780","780",187759,"Orden"
"781","781",208832,"Orden"
"782","782",64186,"Orden"
"783","783",221076,"Orden"
"784","784",51225,"Orden"
"785","785",172976,"Orden"
"786","786",68679,"Orden"
"787","787",228111,"Orden"
"788","788",159784,"Orden"
"789","789",12485,"Orden"
"790","790",176859,"Orden"
"791","791",51866,"Orden"
"792","792",70044,"Orden"
"793","793",54678,"Orden"
"794","794",77341,"Orden"
"795","795",172837,"Orden"
"796","796",245032,"Orden"
"797","797",159050,"Orden"
"798","798",193446,"Orden"
"799","799",157987,"Orden"
"800","800",58563,"Orden"
"801","801",213912,"Orden"
"802","802",108457,"Orden"
"803","803",85265,"Orden"
"804","804",243203,"Orden"
"805","805",249229,"Orden"
"806","806",217206,"Orden"
"807","807",161672,"Orden"
"808","808",85807,"Orden"
"809","809",67899,"Orden"
"810","810",166992,"Orden"
"811","811",232844,"Orden"
"812","812",159179,"Orden"
"813","813",242072,"Orden"
"814","814",7053,"Orden"
"815","815",165736,"Orden"
"816","816",73870,"Orden"
"817","817",138629,"Orden"
"818","818",59889,"Orden"
"819","819",132703,"Orden"
"820","820",127264,"Orden"
"821","821",116844,"Orden"
"822","822",41488,"Orden"
"823","823",148653,"Orden"
"824","824",124613,"Orden"
"825","825",91920,"Orden"
"826","826",17164,"Orden"
"827","827",14885,"Orden"
"828","828",199906,"Orden"
"829","829",95889,"Orden"
"830","830",96568,"Orden"
"831","831",139523,"Orden"
"832","832",47548,"Orden"
"833","833",182686,"Orden"
"834","834",237428,"Orden"
"835","835",110262,"Orden"
"836","836",93896,"Orden"
"837","837",65161,"Orden"
"838","838",50193,"Orden"
"839","839",220834,"Orden"
"840","840",92684,"Orden"
"841","841",231527,"Orden"
"842","842",218485,"Orden"
"843","843",200153,"Orden"
"844","844",165222,"Orden"
"845","845",86052,"Orden"
"846","846",211197,"Orden"
"847","847",180421,"Orden"
"848","848",195140,"Orden"
"849","849",10639,"Orden"
"850","850",238649,"Orden"
"851","851",169631,"Orden"
"852","852",113736,"Orden"
"853","853",44616,"Orden"
"854","854",145196,"Orden"
"855","855",162054,"Orden"
"856","856",201198,"Orden"
"857","857",54789,"Orden"
"858","858",74890,"Orden"
"859","859",216085,"Orden"
"860","860",238068,"Orden"
"861","861",108414,"Orden"
"862","862",125187,"Orden"
"863","863",74530,"Orden"
"864","864",137612,"Orden"
"865","865",174142,"Orden"
"866","866",145806,"Orden"
"867","867",137399,"Orden"
"868","868",243394,"Orden"
"869","869",28704,"Orden"
"870","870",238924,"Orden"
"871","871",80559,"Orden"
"872","872",113292,"Orden"
"873","873",111491,"Orden"
"874","874",148062,"Orden"
"875","875",135629,"Orden"
"876","876",19735,"Orden"
"877","877",183972,"Orden"
"878","878",214549,"Orden"
"879","879",247448,"Orden"
"880","880",193086,"Orden"
"881","881",43644,"Orden"
"882","882",150582,"Orden"
"883","883",209192,"Orden"
"884","884",201843,"Orden"
"885","885",107193,"Orden"
"886","886",110238,"Orden"
"887","887",76059,"Orden"
"888","888",62004,"Orden"
"889","889",150255,"Orden"
"890","890",207460,"Orden"
"891","891",122473,"Orden"
"892","892",87527,"Orden"
"893","893",201067,"Orden"
"894","894",204361,"Orden"
"895","895",211424,"Orden"
"896","896",167812,"Orden"
"897","897",178576,"Orden"
"898","898",5010,"Orden"
"899","899",62196,"Orden"
"900","900",209607,"Orden"
"901","901",37117,"Orden"
"902","902",141017,"Orden"
"903","903",222175,"Orden"
"904","904",166290,"Orden"
"905","905",111533,"Orden"
"906","906",33594,"Orden"
"907","907",40664,"Orden"
"908","908",182370,"Orden"
"909","909",159029,"Orden"
"910","910",164334,"Orden"
"911","911",133497,"Orden"
"912","912",167128,"Orden"
"913","913",229855,"Orden"
"914","914",156715,"Orden"
"915","915",210422,"Orden"
"916","916",190191,"Orden"
"917","917",67504,"Orden"
"918","918",146984,"Orden"
"919","919",82079,"Orden"
"920","920",168517,"Orden"
"921","921",106800,"Orden"
"922","922",249935,"Orden"
"923","923",67026,"Orden"
"924","924",151803,"Orden"
"925","925",146610,"Orden"
"926","926",97244,"Orden"
"927","927",184076,"Orden"
"928","928",14661,"Orden"
"929","929",123982,"Orden"
"930","930",172530,"Orden"
"931","931",187740,"Orden"
"932","932",246763,"Orden"
"933","933",205241,"Orden"
"934","934",137003,"Orden"
"935","935",130172,"Orden"
"936","936",23139,"Orden"
"937","937",198492,"Orden"
"938","938",93914,"Orden"
"939","939",135719,"Orden"
"940","940",95888,"Orden"
"941","941",108758,"Orden"
"942","942",31524,"Orden"
"943","943",111538,"Orden"
"944","944",41528,"Orden"
"945","945",137850,"Orden"
"946","946",126749,"Orden"
"947","947",121464,"Orden"
"948","948",229894,"Orden"
"949","949",159828,"Orden"
"950","950",179781,"Orden"
"951","951",179888,"Orden"
"952","952",74927,"Orden"
"953","953",109313,"Orden"
"954","954",249723,"Orden"
"955","955",19479,"Orden"
"956","956",184700,"Orden"
"957","957",66068,"Orden"
"958","958",30294,"Orden"
"959","959",47969,"Orden"
"960","960",167385,"Orden"
"961","961",136696,"Orden"
"962","962",136937,"Orden"
"963","963",123575,"Orden"
"964","964",185866,"Orden"
"965","965",151735,"Orden"
"966","966",100942,"Orden"
"967","967",222861,"Orden"
"968","968",212449,"Orden"
"969","969",59409,"Orden"
"970","970",38685,"Orden"
"971","971",183156,"Orden"
"972","972",122963,"Orden"
"973","973",11297,"Orden"
"974","974",172846,"Orden"
"975","975",181251,"Orden"
"976","976",107225,"Orden"
"977","977",176896,"Orden"
"978","978",124441,"Orden"
"979","979",129516,"Orden"
"980","980",195921,"Orden"
"981","981",212300,"Orden"
"982","982",56212,"Orden"
"983","983",56602,"Orden"
"984","984",180504,"Orden"
"985","985",217238,"Orden"
"986","986",78414,"Orden"
"987","987",79800,"Orden"
"988","988",75241,"Orden"
"989","989",171432,"Orden"
"990","990",60074,"Orden"
"991","991",214013,"Orden"
"992","992",38191,"Orden"
"993","993",61410,"Orden"
"994","994",246657,"Orden"
"995","995",152202,"Orden"
"996","996",195678,"Orden"
