"","id_cliente","fecha","pgo_tot","tipo_cliente"
"79","79",2020-12-03,1305,"Cliente nivel 1"
"80","80",2020-12-18,700,"Cliente nivel 1"
"81","81",2020-12-23,1827,"Cliente nivel 1"
"82","82",2020-12-01,900,"Cliente nivel 1"
"83","83",2020-12-08,1564.38,"Cliente nivel 1"
"84","84",2020-12-16,643.55,"Cliente nivel 1"
"85","85",2020-12-23,2720.74,"Cliente nivel 1"
"86","86",2020-12-06,797,"Cliente nivel 1"
"87","87",2020-12-14,548,"Cliente nivel 1"
"88","88",2020-12-16,1705,"Cliente nivel 1"
"89","89",2020-12-18,1147,"Cliente nivel 1"
"90","90",2020-12-06,200,"Cliente nivel 1"
"91","91",2020-12-16,156.08,"Cliente nivel 1"
"92","92",2020-12-02,1930,"Cliente nivel 1"
"93","93",2020-12-08,401,"Cliente nivel 1"
"94","94",2020-12-15,1203,"Cliente nivel 1"
"95","95",2020-12-23,624.5,"Cliente nivel 1"
"96","96",2020-12-10,272,"Cliente nivel 1"
"97","97",2020-12-11,253,"Cliente nivel 1"
"98","98",2020-12-20,274,"Cliente nivel 1"
"99","99",2020-12-01,200,"Cliente nivel 1"
"100","100",2020-12-15,245.08,"Cliente nivel 1"
"101","101",2020-12-18,500,"Cliente nivel 1"
"102","102",2020-12-26,1753.36,"Cliente nivel 1"
"103","103",2020-12-01,40.21,"Empleado"
"104","104",2020-12-08,265.66,"Empleado"
"105","105",2020-12-14,574,"Empleado"
"106","106",2020-12-15,278.93,"Empleado"
"107","107",2020-12-22,3248.06,"Empleado"
"108","108",2020-12-29,280.43,"Empleado"
"109","109",2020-12-18,279.31,"Cliente nivel 1"
"110","110",2020-12-03,1489.12,"Cliente nivel 1"
"111","111",2020-12-09,1489.12,"Cliente nivel 1"
"112","112",2020-12-17,1000,"Cliente nivel 1"
"113","113",2020-12-25,500,"Cliente nivel 1"
"114","114",2020-12-04,300,"Cliente nivel 1"
"115","115",2020-12-11,1124,"Cliente nivel 1"
"116","116",2020-12-18,300,"Cliente nivel 1"
"117","117",2020-12-26,300,"Cliente nivel 1"
"118","118",2020-12-01,234.17,"Empleado"
"119","119",2020-12-08,234.17,"Empleado"
"120","120",2020-12-15,234.17,"Empleado"
"121","121",2020-12-21,1577.52,"Empleado"
"122","122",2020-12-22,234.17,"Empleado"
"123","123",2020-12-29,234.17,"Empleado"
"124","124",2020-12-03,250,"Cliente nivel 1"
"125","125",2020-12-11,250,"Cliente nivel 1"
"126","126",2020-12-18,250,"Cliente nivel 1"
"127","127",2020-12-26,250,"Cliente nivel 1"
"128","128",2020-12-04,0.8,"Cliente nivel 1"
"129","129",2020-12-19,750,"Cliente nivel 1"
"130","130",2020-12-03,500,"Cliente nivel 1"
"131","131",2020-12-10,500,"Cliente nivel 1"
"132","132",2020-12-18,500,"Cliente nivel 1"
"133","133",2020-12-13,1850,"Cliente nivel 1"
"134","134",2020-12-20,1850,"Cliente nivel 1"
"135","135",2020-12-11,2218,"Cliente nivel 1"
"136","136",2020-12-14,2265,"Cliente nivel 1"
"137","137",2020-12-18,2554,"Cliente nivel 1"
"138","138",2020-12-05,270,"Cliente nivel 1"
"139","139",2020-12-13,270,"Cliente nivel 1"
"140","140",2020-12-21,200,"Cliente nivel 1"
"141","141",2020-12-28,200,"Cliente nivel 1"
"142","142",2020-12-02,500,"Cliente nivel 1"
"143","143",2020-12-05,727.48,"Cliente nivel 1"
"144","144",2020-12-18,1800,"Cliente nivel 1"
"145","145",2020-12-24,700,"Cliente nivel 1"
"146","146",2020-12-06,287.5,"Cliente nivel 1"
"147","147",2020-12-13,287.5,"Cliente nivel 1"
"148","148",2020-12-20,287.5,"Cliente nivel 1"
"149","149",2020-12-27,284,"Cliente nivel 1"
"150","150",2020-12-01,375,"Cliente nivel 1"
"151","151",2020-12-07,750,"Cliente nivel 1"
"152","152",2020-12-15,375,"Cliente nivel 1"
"153","153",2020-12-22,375,"Cliente nivel 1"
"154","154",2020-12-01,250,"Cliente nivel 1"
"155","155",2020-12-08,250,"Cliente nivel 1"
"156","156",2020-12-16,250,"Cliente nivel 1"
"157","157",2020-12-21,200,"Cliente nivel 1"
"158","158",2020-12-28,250,"Cliente nivel 1"
"159","159",2020-12-10,450,"Cliente nivel 1"
"160","160",2020-12-16,450,"Cliente nivel 1"
"161","161",2020-12-22,450,"Cliente nivel 1"
"162","162",2020-12-01,0.43,"Cliente nivel 1"
"163","163",2020-12-08,275,"Cliente nivel 1"
"164","164",2020-12-15,275,"Cliente nivel 1"
"165","165",2020-12-22,275,"Cliente nivel 1"
"166","166",2020-12-02,2101.27,"Cliente nivel 1"
"167","167",2020-12-12,350,"Cliente nivel 1"
"168","168",2020-12-16,1751.84,"Cliente nivel 1"
"169","169",2020-12-28,500,"Cliente nivel 1"
"170","170",2020-12-05,350,"Cliente nivel 1"
"171","171",2020-12-12,348,"Cliente nivel 1"
"172","172",2020-12-13,2,"Cliente nivel 1"
"173","173",2020-12-17,300,"Cliente nivel 1"
"174","174",2020-12-26,300,"Cliente nivel 1"
"175","175",2020-12-04,1758.67,"Cliente nivel 1"
"176","176",2020-12-16,280.03,"Cliente nivel 1"
"177","177",2020-12-23,280,"Cliente nivel 1"
"178","178",2020-12-01,500,"Cliente nivel 1"
"179","179",2020-12-03,1100,"Cliente nivel 1"
"180","180",2020-12-23,820,"Cliente nivel 1"
"181","181",2020-12-02,1000,"Cliente nivel 1"
"182","182",2020-12-13,1124.89,"Cliente nivel 1"
"183","183",2020-12-15,25.11,"Cliente nivel 1"
"184","184",2020-12-16,1536.03,"Cliente nivel 1"
"185","185",2020-12-13,933.04,"Cliente nivel 1"
"186","186",2020-12-10,1400,"Cliente nivel 1"
"187","187",2020-12-16,933,"Cliente nivel 1"
"188","188",2020-12-21,933.52,"Cliente nivel 1"
"189","189",2020-12-09,421.02,"Empleado"
"190","190",2020-12-17,201,"Empleado"
"191","191",2020-12-24,64,"Empleado"
"192","192",2020-12-04,515.68,"Cliente nivel 1"
"193","193",2020-12-14,0.32,"Cliente nivel 1"
"194","194",2020-12-21,500,"Cliente nivel 1"
"195","195",2020-12-28,500,"Cliente nivel 1"
"196","196",2020-12-16,248,"Cliente nivel 1"
"197","197",2020-12-23,475,"Cliente nivel 1"
"198","198",2020-12-01,554,"Cliente nivel 1"
"199","199",2020-12-08,554,"Cliente nivel 1"
"200","200",2020-12-15,554,"Cliente nivel 1"
"201","201",2020-12-22,625,"Cliente nivel 1"
"202","202",2020-12-28,630,"Cliente nivel 1"
"203","203",2020-12-14,500,"Cliente nivel 1"
"204","204",2020-12-04,150,"Cliente nivel 1"
"205","205",2020-12-04,200,"Cliente nivel 1"
"206","206",2020-12-11,200,"Cliente nivel 1"
"207","207",2020-12-12,304,"Cliente nivel 1"
"208","208",2020-12-19,200,"Cliente nivel 1"
"209","209",2020-12-26,200,"Cliente nivel 1"
"210","210",2020-12-06,1201,"Cliente nivel 1"
"211","211",2020-12-13,1784,"Cliente nivel 1"
"212","212",2020-12-20,500,"Cliente nivel 1"
"213","213",2020-12-28,700,"Cliente nivel 1"
"214","214",2020-12-02,1469,"Cliente nivel 1"
"215","215",2020-12-05,678,"Cliente nivel 1"
"216","216",2020-12-08,1698,"Cliente nivel 1"
"217","217",2020-12-12,300,"Cliente nivel 1"
"218","218",2020-12-15,900,"Cliente nivel 1"
"219","219",2020-12-17,1412,"Cliente nivel 1"
"220","220",2020-12-22,700,"Cliente nivel 1"
"221","221",2020-12-12,2149.53,"Cliente nivel 1"
"222","222",2020-12-21,1725,"Cliente nivel 1"
"223","223",2020-12-03,770,"Cliente nivel 1"
"224","224",2020-12-05,512,"Cliente nivel 1"
"225","225",2020-12-13,300,"Cliente nivel 1"
"226","226",2020-12-19,2827.93,"Cliente nivel 1"
"227","227",2020-12-26,500,"Cliente nivel 1"
"228","228",2020-12-09,759,"Cliente nivel 1"
"229","229",2020-12-15,800,"Cliente nivel 1"
"230","230",2020-12-17,1394.93,"Cliente nivel 1"
"231","231",2020-12-24,800,"Cliente nivel 1"
"232","232",2020-12-04,863,"Cliente nivel 1"
"233","233",2020-12-05,500,"Cliente nivel 1"
"234","234",2020-12-07,1910,"Cliente nivel 1"
"235","235",2020-12-09,949,"Cliente nivel 1"
"236","236",2020-12-10,1850,"Cliente nivel 1"
"237","237",2020-12-11,383,"Cliente nivel 1"
"238","238",2020-12-14,2369,"Cliente nivel 1"
"239","239",2020-12-16,2281,"Cliente nivel 1"
"240","240",2020-12-18,1904,"Cliente nivel 1"
"241","241",2020-12-19,949,"Cliente nivel 1"
"242","242",2020-12-21,310,"Cliente nivel 1"
"243","243",2020-12-22,825,"Cliente nivel 1"
"244","244",2020-12-24,2112,"Cliente nivel 1"
"245","245",2020-12-05,800.7,"Cliente nivel 1"
"246","246",2020-12-21,350,"Cliente nivel 1"
"247","247",2020-12-26,350,"Cliente nivel 1"
"248","248",2020-12-14,781,"Cliente nivel 1"
"249","249",2020-12-22,500,"Cliente nivel 1"
"250","250",2020-12-04,887,"Cliente nivel 1"
"251","251",2020-12-07,1500,"Cliente nivel 1"
"252","252",2020-12-15,1500,"Cliente nivel 1"
"253","253",2020-12-23,1486.2,"Cliente nivel 1"
"254","254",2020-12-01,200,"Cliente nivel 1"
"255","255",2020-12-06,200,"Cliente nivel 1"
"256","256",2020-12-09,611.26,"Cliente nivel 1"
"257","257",2020-12-16,1050,"Cliente nivel 1"
"258","258",2020-12-01,500,"Cliente nivel 1"
"259","259",2020-12-06,1169,"Cliente nivel 1"
"260","260",2020-12-13,500,"Cliente nivel 1"
"261","261",2020-12-20,500,"Cliente nivel 1"
"262","262",2020-12-27,500,"Cliente nivel 1"
"263","263",2020-12-09,141.69,"Empleado"
"264","264",2020-12-10,288,"Empleado"
"265","265",2020-12-23,300,"Empleado"
"266","266",2020-12-03,1032,"Cliente nivel 1"
"267","267",2020-12-10,6518,"Cliente nivel 1"
"268","268",2020-12-16,2000,"Cliente nivel 1"
"269","269",2020-12-17,400,"Cliente nivel 1"
"270","270",2020-12-24,3800,"Cliente nivel 1"
"271","271",2020-12-04,1300,"Cliente nivel 1"
"272","272",2020-12-05,250,"Cliente nivel 1"
"273","273",2020-12-11,1450,"Cliente nivel 1"
"274","274",2020-12-12,100,"Cliente nivel 1"
"275","275",2020-12-19,1550,"Cliente nivel 1"
"276","276",2020-12-26,1000.5,"Cliente nivel 1"
"277","277",2020-12-12,3467,"Cliente nivel 1"
"278","278",2020-12-03,5275.58,"Cliente nivel 1"
"279","279",2020-12-09,2835,"Cliente nivel 1"
"280","280",2020-12-17,5264,"Cliente nivel 1"
"281","281",2020-12-18,1263.61,"Cliente nivel 1"
"282","282",2020-12-09,335.68,"Empleado"
"283","283",2020-12-05,350,"Cliente nivel 1"
"284","284",2020-12-07,596.67,"Cliente nivel 1"
"285","285",2020-12-13,400,"Cliente nivel 1"
"286","286",2020-12-21,1000,"Cliente nivel 1"
"287","287",2020-12-28,1400,"Cliente nivel 1"
"288","288",2020-12-14,499.84,"Cliente nivel 1"
"289","289",2020-12-04,700,"Cliente nivel 1"
"290","290",2020-12-11,1110,"Cliente nivel 1"
"291","291",2020-12-18,700,"Cliente nivel 1"
"292","292",2020-12-01,280,"Cliente nivel 1"
"293","293",2020-12-08,280,"Cliente nivel 1"
"294","294",2020-12-15,279.7,"Cliente nivel 1"
"295","295",2020-12-22,280,"Cliente nivel 1"
"296","296",2020-12-04,568,"Cliente nivel 1"
"297","297",2020-12-11,300,"Cliente nivel 1"
"298","298",2020-12-26,600.63,"Cliente nivel 1"
"299","299",2020-12-11,1297,"Cliente nivel 1"
"300","300",2020-12-18,2194,"Cliente nivel 1"
"301","301",2020-12-03,1703,"Cliente nivel 1"
"302","302",2020-12-10,2812,"Cliente nivel 1"
"303","303",2020-12-16,2508,"Cliente nivel 1"
"304","304",2020-12-22,3023,"Cliente nivel 1"
"305","305",2020-12-08,3700,"Cliente nivel 1"
"306","306",2020-12-14,1200,"Cliente nivel 1"
"307","307",2020-12-24,1500,"Cliente nivel 1"
"308","308",2020-12-28,1500,"Cliente nivel 1"
"309","309",2020-12-07,378,"Cliente nivel 1"
"310","310",2020-12-10,400,"Cliente nivel 1"
"311","311",2020-12-23,1000,"Cliente nivel 1"
"312","312",2020-12-01,700,"Cliente nivel 1"
"313","313",2020-12-08,700,"Cliente nivel 1"
"314","314",2020-12-15,180,"Cliente nivel 1"
"315","315",2020-12-22,970,"Cliente nivel 1"
"316","316",2020-12-06,628,"Cliente nivel 1"
"317","317",2020-12-14,500,"Cliente nivel 1"
"318","318",2020-12-18,500,"Cliente nivel 1"
"319","319",2020-12-03,725,"Cliente nivel 1"
"320","320",2020-12-12,1382,"Cliente nivel 1"
"321","321",2020-12-11,1332,"Cliente nivel 1"
"322","322",2020-12-01,1111.8,"Cliente nivel 1"
"323","323",2020-12-02,800,"Cliente nivel 1"
"324","324",2020-12-15,1500,"Cliente nivel 1"
"325","325",2020-12-18,765.9,"Cliente nivel 1"
"326","326",2020-12-02,1880,"Cliente nivel 1"
"327","327",2020-12-09,1880,"Cliente nivel 1"
"328","328",2020-12-16,1864.72,"Cliente nivel 1"
"329","329",2020-12-17,10.28,"Cliente nivel 1"
"330","330",2020-12-24,1506.5,"Cliente nivel 1"
"331","331",2020-12-04,68,"Cliente nivel 1"
"332","332",2020-12-06,1201,"Cliente nivel 1"
"333","333",2020-12-13,1600,"Cliente nivel 1"
"334","334",2020-12-20,400,"Cliente nivel 1"
"335","335",2020-12-27,400,"Cliente nivel 1"
"336","336",2020-12-03,150,"Empleado"
"337","337",2020-12-10,150,"Empleado"
"338","338",2020-12-11,400,"Empleado"
"339","339",2020-12-18,350,"Empleado"
"340","340",2020-12-28,302,"Empleado"
"341","341",2020-12-05,300,"Cliente nivel 1"
"342","342",2020-12-07,321,"Cliente nivel 1"
"343","343",2020-12-14,1681,"Cliente nivel 1"
"344","344",2020-12-21,500,"Cliente nivel 1"
"345","345",2020-12-06,250,"Cliente nivel 1"
"346","346",2020-12-13,501.4,"Cliente nivel 1"
"347","347",2020-12-01,445,"Cliente nivel 1"
"348","348",2020-12-20,757.41,"Cliente nivel 1"
"349","349",2020-12-02,0.68,"Cliente nivel 1"
"350","350",2020-12-04,814,"Cliente nivel 1"
"351","351",2020-12-07,173.32,"Cliente nivel 1"
"352","352",2020-12-05,4000,"Cliente nivel 1"
"353","353",2020-12-13,7016,"Cliente nivel 1"
"354","354",2020-12-21,4000,"Cliente nivel 1"
"355","355",2020-12-27,4000,"Cliente nivel 1"
"356","356",2020-12-03,1000,"Cliente nivel 1"
"357","357",2020-12-10,1650,"Cliente nivel 1"
"358","358",2020-12-16,1300,"Cliente nivel 1"
"359","359",2020-12-24,700,"Cliente nivel 1"
"360","360",2020-12-06,806.88,"Cliente nivel 1"
"361","361",2020-12-10,807.48,"Cliente nivel 1"
"362","362",2020-12-21,807.48,"Cliente nivel 1"
"363","363",2020-12-16,55.38,"Cliente nivel 1"
"364","364",2020-12-06,237,"Cliente nivel 1"
"365","365",2020-12-13,240,"Cliente nivel 1"
"366","366",2020-12-21,240,"Cliente nivel 1"
"367","367",2020-12-27,240,"Cliente nivel 1"
"368","368",2020-12-03,1464,"Cliente nivel 1"
"369","369",2020-12-09,1465,"Cliente nivel 1"
"370","370",2020-12-14,2102.5,"Cliente nivel 1"
"371","371",2020-12-16,2778.7,"Cliente nivel 1"
"372","372",2020-12-17,1269.43,"Cliente nivel 1"
"373","373",2020-12-06,745,"Cliente nivel 1"
"374","374",2020-12-13,745,"Cliente nivel 1"
"375","375",2020-12-21,745,"Cliente nivel 1"
"376","376",2020-12-05,350,"Cliente nivel 1"
"377","377",2020-12-20,357.87,"Cliente nivel 1"
"378","378",2020-12-07,220,"Cliente nivel 1"
"379","379",2020-12-13,301.98,"Cliente nivel 1"
"380","380",2020-12-16,1326.93,"Cliente nivel 1"
"381","381",2020-12-16,250,"Cliente nivel 1"
"382","382",2020-12-01,0.42,"Cliente nivel 1"
"383","383",2020-12-17,1600,"Cliente nivel 1"
"384","384",2020-12-05,11250,"Cliente nivel 1"
"385","385",2020-12-15,15013.12,"Cliente nivel 1"
"386","386",2020-12-18,15000,"Cliente nivel 1"
"387","387",2020-12-26,15013.12,"Cliente nivel 1"
"388","388",2020-12-03,1078,"Cliente nivel 1"
"389","389",2020-12-10,1385,"Cliente nivel 1"
"390","390",2020-12-17,1258.64,"Cliente nivel 1"
"391","391",2020-12-22,2050,"Cliente nivel 1"
"392","392",2020-12-09,0.92,"Cliente nivel 1"
"393","393",2020-12-18,532,"Cliente nivel 1"
"394","394",2020-12-03,550,"Cliente nivel 1"
"395","395",2020-12-10,1650,"Cliente nivel 1"
"396","396",2020-12-17,550,"Cliente nivel 1"
"397","397",2020-12-26,1000,"Cliente nivel 1"
"398","398",2020-12-05,1363,"Cliente nivel 1"
"399","399",2020-12-12,2300,"Cliente nivel 1"
"400","400",2020-12-20,2600,"Cliente nivel 1"
"401","401",2020-12-27,2600,"Cliente nivel 1"
"402","402",2020-12-04,7500,"Cliente nivel 1"
"403","403",2020-12-11,7500,"Cliente nivel 1"
"404","404",2020-12-18,7500,"Cliente nivel 1"
"405","405",2020-12-22,7500,"Cliente nivel 1"
"406","406",2020-12-09,333.09,"Empleado"
"407","407",2020-12-08,370,"Cliente nivel 1"
"408","408",2020-12-20,450,"Cliente nivel 1"
"409","409",2020-12-28,300,"Cliente nivel 1"
"410","410",2020-12-02,700,"Cliente nivel 1"
"411","411",2020-12-11,449.07,"Cliente nivel 1"
"412","412",2020-12-01,22.16,"Empleado"
"413","413",2020-12-08,117.53,"Empleado"
"414","414",2020-12-15,117.53,"Empleado"
"415","415",2020-12-22,117.53,"Empleado"
"416","416",2020-12-23,41,"Empleado"
"417","417",2020-12-29,175.21,"Empleado"
"418","418",2020-12-05,300,"Cliente nivel 1"
"419","419",2020-12-14,550,"Cliente nivel 1"
"420","420",2020-12-06,1020,"Cliente nivel 1"
"421","421",2020-12-12,1020,"Cliente nivel 1"
"422","422",2020-12-21,525,"Cliente nivel 1"
"423","423",2020-12-14,280,"Cliente nivel 1"
"424","424",2020-12-20,250,"Cliente nivel 1"
"425","425",2020-12-04,500,"Cliente nivel 1"
"426","426",2020-12-14,2800,"Cliente nivel 1"
"427","427",2020-12-02,129,"Cliente nivel 1"
"428","428",2020-12-09,9550,"Cliente nivel 1"
"429","429",2020-12-15,10499.07,"Cliente nivel 1"
"430","430",2020-12-22,8366,"Cliente nivel 1"
"431","431",2020-12-11,1200.84,"Cliente nivel 1"
"432","432",2020-12-16,60,"Cliente nivel 1"
"433","433",2020-12-20,1107,"Cliente nivel 1"
"434","434",2020-12-22,300,"Cliente nivel 1"
"435","435",2020-12-08,972,"Cliente nivel 1"
"436","436",2020-12-15,324,"Cliente nivel 1"
"437","437",2020-12-01,142.12,"Empleado"
"438","438",2020-12-01,150,"Cliente nivel 1"
"439","439",2020-12-08,400,"Cliente nivel 1"
"440","440",2020-12-15,400,"Cliente nivel 1"
"441","441",2020-12-20,750,"Cliente nivel 1"
"442","442",2020-12-27,400,"Cliente nivel 1"
"443","443",2020-12-01,2550,"Cliente nivel 1"
"444","444",2020-12-08,2550,"Cliente nivel 1"
"445","445",2020-12-14,2550,"Cliente nivel 1"
"446","446",2020-12-18,2550,"Cliente nivel 1"
"447","447",2020-12-26,700,"Cliente nivel 1"
"448","448",2020-12-11,2325.04,"Cliente nivel 1"
"449","449",2020-12-03,612.5,"Cliente nivel 1"
"450","450",2020-12-04,600,"Cliente nivel 1"
"451","451",2020-12-12,500,"Cliente nivel 1"
"452","452",2020-12-14,345,"Cliente nivel 1"
"453","453",2020-12-21,900,"Cliente nivel 1"
"454","454",2020-12-06,624.37,"Cliente nivel 1"
"455","455",2020-12-16,1.63,"Cliente nivel 1"
"456","456",2020-12-21,274,"Cliente nivel 1"
"457","457",2020-12-04,350,"Cliente nivel 1"
"458","458",2020-12-11,350,"Cliente nivel 1"
"459","459",2020-12-18,350,"Cliente nivel 1"
"460","460",2020-12-23,349.23,"Cliente nivel 1"
"461","461",2020-12-02,808.83,"Cliente nivel 1"
"462","462",2020-12-14,790.69,"Cliente nivel 1"
"463","463",2020-12-13,700,"Cliente nivel 1"
"464","464",2020-12-16,64,"Cliente nivel 1"
"465","465",2020-12-28,300,"Cliente nivel 1"
"466","466",2020-12-01,991,"Cliente nivel 1"
"467","467",2020-12-12,1401.23,"Cliente nivel 1"
"468","468",2020-12-04,5316,"Cliente nivel 1"
"469","469",2020-12-10,7350,"Cliente nivel 1"
"470","470",2020-12-17,4807,"Cliente nivel 1"
"471","471",2020-12-23,1005,"Cliente nivel 1"
"472","472",2020-12-06,3653.51,"Cliente nivel 1"
"473","473",2020-12-16,1000,"Cliente nivel 1"
"474","474",2020-12-27,2000,"Cliente nivel 1"
"475","475",2020-12-05,4000,"Cliente nivel 1"
"476","476",2020-12-07,5409,"Cliente nivel 1"
"477","477",2020-12-16,3000,"Cliente nivel 1"
"478","478",2020-12-23,3000,"Cliente nivel 1"
"479","479",2020-12-27,5214.87,"Cliente nivel 1"
"480","480",2020-12-01,2684,"Cliente nivel 1"
"481","481",2020-12-08,1285,"Cliente nivel 1"
"482","482",2020-12-15,1300,"Cliente nivel 1"
"483","483",2020-12-22,1300,"Cliente nivel 1"
"484","484",2020-12-26,50,"Cliente nivel 1"
"485","485",2020-12-17,274,"Cliente nivel 1"
"486","486",2020-12-24,272,"Cliente nivel 1"
"487","487",2020-12-04,856.91,"Cliente nivel 1"
"488","488",2020-12-01,1000,"Cliente nivel 1"
"489","489",2020-12-08,829,"Cliente nivel 1"
"490","490",2020-12-16,1200,"Cliente nivel 1"
"491","491",2020-12-21,1300,"Cliente nivel 1"
"492","492",2020-12-03,160,"Cliente nivel 1"
"493","493",2020-12-10,781,"Cliente nivel 1"
"494","494",2020-12-18,200,"Cliente nivel 1"
"495","495",2020-12-07,380.07,"Cliente nivel 1"
"496","496",2020-12-02,750,"Cliente nivel 1"
"497","497",2020-12-11,750.66,"Cliente nivel 1"
"498","498",2020-12-18,200,"Cliente nivel 1"
"499","499",2020-12-05,600,"Cliente nivel 1"
"500","500",2020-12-13,600,"Cliente nivel 1"
"501","501",2020-12-17,1200,"Cliente nivel 1"
"502","502",2020-12-26,725,"Cliente nivel 1"
"503","503",2020-12-01,300,"Cliente nivel 1"
"504","504",2020-12-08,1907.91,"Cliente nivel 1"
"505","505",2020-12-15,350,"Cliente nivel 1"
"506","506",2020-12-22,350,"Cliente nivel 1"
"507","507",2020-12-03,1000,"Cliente nivel 1"
"508","508",2020-12-09,544.09,"Cliente nivel 1"
"509","509",2020-12-16,5.91,"Cliente nivel 1"
"510","510",2020-12-28,1000,"Cliente nivel 1"
"511","511",2020-12-01,900,"Cliente nivel 1"
"512","512",2020-12-02,100,"Cliente nivel 1"
"513","513",2020-12-03,1209,"Cliente nivel 1"
"514","514",2020-12-04,1803,"Cliente nivel 1"
"515","515",2020-12-09,2536,"Cliente nivel 1"
"516","516",2020-12-15,2300,"Cliente nivel 1"
"517","517",2020-12-16,1300.2,"Cliente nivel 1"
"518","518",2020-12-26,1250,"Cliente nivel 1"
"519","519",2020-12-02,775,"Cliente nivel 1"
"520","520",2020-12-04,2325,"Cliente nivel 1"
"521","521",2020-12-10,398,"Cliente nivel 1"
"522","522",2020-12-18,2181.86,"Cliente nivel 1"
"523","523",2020-12-25,911,"Cliente nivel 1"
"524","524",2020-12-10,1880.35,"Cliente nivel 1"
"525","525",2020-12-19,1680,"Cliente nivel 1"
"526","526",2020-12-05,170,"Cliente nivel 1"
"527","527",2020-12-11,145,"Cliente nivel 1"
"528","528",2020-12-15,394.07,"Cliente nivel 1"
"529","529",2020-12-24,280,"Cliente nivel 1"
