,id_cliente,deuda_act,deuda_act_interes,venta_trimestral,venta_enero2020,venta_febrero2020,venta_mzo2020,pagos,pagos_enero2020,pagos_febrero2020,pagos_mzo2020,id_sucursal,B_tipo_soc,edad,tipo_cliente,nombre_suc
62,62,0,0,1985,1985,0,0,2337.26,2337.26,0,0,6,Empleado,41,Empleado,PUE
63,63,0,0,7663.36,3831.68,1915.84,1915.84,7663.36,3831.68,1915.84,1915.84,6,Socio,54,Cliente nivel 1,PUE
64,66,0,0,1050,0,1050,0,1099.7,0,1099.7,0,16,Socio,35,Cliente nivel 1,BCS
65,67,0,0,4155,0,2770,1385,4420,0,2900,1520,16,Socio,34,Cliente nivel 1,BCS
66,68,0,0,11438,7040,2199,2199,11443.85,7045.85,2199,2199,1,Socio,44,Cliente nivel 1,CDMX
67,69,598.86,934.65,2140.2,2140.2,0,0,2050,2050,0,0,1,Socio,42,Cliente nivel 1,CDMX
68,70,0,0,3042,3042,0,0,3042,3042,0,0,1,Socio,41,Cliente nivel 1,CDMX
69,71,0,0,539,0,0,539,544.22,0,0,544.22,1,Socio,45,Cliente nivel 1,CDMX
70,72,0,0,9861,3100,0,6761,9863.06,3100,0,6763.06,1,Socio,37,Cliente nivel 1,CDMX
71,73,0,0,17.87,17.87,0,0,17.87,17.87,0,0,7,Socio,67,Cliente nivel 1,AGS
72,74,0,0,1514.76,817.76,697,0,1584.36,820.62,763.74,0,1,Socio,46,Cliente nivel 1,CDMX
73,75,0,0,17289,4200,7191,5898,17292.59,4200,7194.59,5898,1,Socio,48,Cliente nivel 1,CDMX
74,76,0,0,4300,0,4300,0,4451.16,0,4451.16,0,1,Socio,62,Cliente nivel 1,CDMX
75,77,0,0,12177.68,6088.84,4304,1784.84,12930.2,6441.96,4703.4,1784.84,7,Socio,53,Cliente nivel 1,AGS
76,78,0,0,1652.48,826.24,826.24,0,1770.39,867.47,902.92,0,4,Socio,47,Cliente nivel 1,QRO
77,79,0,0,9300,4650,4650,0,10051.64,5039.75,5011.89,0,3,Socio,37,Cliente nivel 1,LEON
78,80,0,0,5900,2950,0,2950,6401.58,3239.09,0,3162.49,3,Socio,47,Cliente nivel 1,LEON
79,81,0,0,17026,4965,1082,10979,17501.85,4965.28,1082,11454.57,3,Socio,58,Cliente nivel 1,LEON
80,82,1050,2105.24,2021,971,0,1050,971.27,971.27,0,0,3,Socio,43,Cliente nivel 1,LEON
81,83,0,0,8564.99,1612,5645.99,1307,8564.99,1612,5645.99,1307,4,Socio,63,Cliente nivel 1,QRO
82,84,0,0,4486.7,0,0,4486.7,4486.7,0,0,4486.7,4,Socio,54,Cliente nivel 1,QRO
83,85,0,0,8569.65,3546.83,1639,3383.82,8722.15,3546.83,1639,3536.32,4,Socio,46,Cliente nivel 1,QRO
84,86,0,0,2029,0,1321,708,2029,0,1321,708,10,Empleado,37,Empleado,TOL
85,87,0,0,1600,800,800,0,1600,800,800,0,5,Socio,42,Cliente nivel 1,ECA
86,88,0,0,11499,0,0,11499,11511.4,0,0,11511.4,4,Socio,50,Cliente nivel 1,QRO
87,89,0,0,15312.16,8799.88,0,6512.28,15965.4,8799.88,0,7165.52,4,Socio,47,Cliente nivel 1,QRO
88,90,0,0,2055.47,2055.47,0,0,2221.22,2221.22,0,0,8,Socio,36,Cliente nivel 1,JAL
89,91,0,0,10087,0,5754,4333,10087,0,5754,4333,4,Socio,54,Cliente nivel 1,QRO
90,92,0,0,25788.92,8722,11071.28,5995.64,25788.92,8722,11071.28,5995.64,10,Socio,31,Cliente nivel 1,TOL
91,93,0,0,3732.5,0,1812.5,1920,3980.22,0,1970.43,2009.79,7,Socio,45,Cliente nivel 1,AGS
92,94,0,0,2500,1250,1250,0,2675.94,1337.2,1338.74,0,4,Socio,43,Cliente nivel 1,QRO
93,95,0,0,5580,0,2780,2800,5580,0,2780,2800,4,Socio,47,Cliente nivel 1,QRO
94,96,0,0,19500,5550,5550,8400,19500,5550,5550,8400,10,Socio,36,Cliente nivel 1,TOL
95,97,0,0,4696,1594,712,2390,4847.96,1744.71,713.25,2390,10,Socio,46,Cliente nivel 1,TOL
96,98,0,0,1255,370,885,0,1489.61,405.42,1084.19,0,4,Socio,52,Cliente nivel 1,QRO
97,99,0,0,4330.84,0,2559.84,1771,4504.61,0,2566.21,1938.4,6,Socio,46,Cliente nivel 1,PUE
98,100,0,0,3371,1150,1073,1148,4074.74,1157.68,1084.69,1832.37,6,Socio,66,Cliente nivel 1,PUE
99,101,0,0,6800,0,3400,3400,7363.84,0,3643.84,3720,6,Socio,41,Cliente nivel 1,PUE
100,102,0,0,7689,2589,1914,3186,7904.4,2671.32,2047.08,3186,6,Socio,39,Cliente nivel 1,PUE
101,103,0,0,8182,0,0,8182,8184.57,0,0,8184.57,15,Socio,51,Cliente nivel 1,SLP
102,104,0,0,2605,0,0,2605,2625,0,0,2625,11,Socio,44,Cliente nivel 1,TIJ
103,105,0,0,697,0,697,0,738.93,0,738.93,0,11,Socio,54,Cliente nivel 1,TIJ
104,106,0,0,2054,0,700,1354,2063.62,0,701.22,1362.4,11,Socio,43,Cliente nivel 1,TIJ
105,107,0,0,82.11,82.11,0,0,82.11,82.11,0,0,15,Socio,33,Cliente nivel 1,SLP
106,108,0,0,1468.92,0,1468.92,0,1611,0,1611,0,10,Socio,35,Cliente nivel 1,TOL
107,109,0,0,660,0,660,0,665.3,0,665.3,0,6,Socio,41,Cliente nivel 1,PUE
108,110,0,0,3705.44,0,2226.44,1479,3705.44,0,2226.44,1479,5,Socio,49,Cliente nivel 1,ECA
109,111,0,0,8909.2,6081.2,2828,0,9176.91,6081.2,3095.71,0,7,Socio,48,Cliente nivel 1,AGS
110,112,0,0,9313,2186,3401,3726,9313,2186,3401,3726,4,Socio,56,Cliente nivel 1,QRO
111,113,0,0,1200,0,1200,0,1289.04,0,1289.04,0,6,Socio,44,Cliente nivel 1,PUE
112,114,0,0,3479.6,2004,1475.6,0,3696.36,2112.91,1583.45,0,1,Socio,37,Cliente nivel 1,CDMX
113,115,0,0,5748,2548,1600,1600,6015.48,2565.37,1601.4,1848.71,4,Socio,52,Cliente nivel 1,QRO
114,116,0,0,5397,1907,2613,877,5397,1907,2613,877,1,Empleado,39,Empleado,CDMX
115,117,0,0,12247.94,5388.42,4974,1885.52,12386.09,5391.1,4975.55,2019.44,7,Socio,68,Cliente nivel 1,AGS
116,118,0,0,2987,987,1000,1000,3116.71,1067.15,1000.88,1048.68,16,Socio,53,Cliente nivel 1,BCS
117,119,0,0,9071,2504,2651,3916,9071,2504,2651,3916,1,Socio,51,Cliente nivel 1,CDMX
118,120,0,0,923.8,923.8,0,0,1078.76,1078.76,0,0,1,Socio,34,Cliente nivel 1,CDMX
119,121,0,0,2552,681,750,1121,2613.56,681,811.56,1121,5,Socio,37,Cliente nivel 1,ECA
120,122,0,0,72388.8,20528.9,22482,29377.9,72401.92,20528.9,22482,29391.02,16,Socio,41,Cliente nivel 1,BCS
121,123,0,0,13634,3767,5229,4638,13634,3767,5229,4638,5,Socio,46,Cliente nivel 1,ECA
122,124,0,0,2422.44,807.48,807.48,807.48,2483.09,807.48,810.31,865.3,7,Socio,51,Cliente nivel 1,AGS
123,125,0,0,1970,0,1533,437,2317.6,0,1799.48,518.12,2,Empleado,32,Empleado,VER
124,126,0,0,714,714,0,0,714.62,714.62,0,0,2,Socio,28,Cliente nivel 1,VER
125,127,0,0,1450,1450,0,0,1450,1450,0,0,3,Socio,45,Cliente nivel 1,LEON
126,128,0,0,2377,0,1181,1196,2525.79,0,1222.49,1303.3,3,Socio,67,Cliente nivel 1,LEON
127,129,0,0,6172.76,1779.44,1464.44,2928.88,6318.13,1784.57,1464.44,3069.12,4,Socio,33,Cliente nivel 1,QRO
128,130,0,0,9249.22,2860.5,4424.72,1964,9452.74,2860.5,4440.21,2152.03,4,Socio,42,Cliente nivel 1,QRO
129,131,0,0,9514.92,0,6343.28,3171.64,9838.57,0,6343.28,3495.29,4,Socio,41,Cliente nivel 1,QRO
130,132,0,0,5890.96,1726,1790,2374.96,6098.93,1726,1790,2582.93,4,Socio,55,Cliente nivel 1,QRO
131,133,0,0,2018.16,1009.08,0,1009.08,2184.7,1079.31,0,1105.39,4,Socio,47,Cliente nivel 1,QRO
132,134,0,0,956.96,0,0,956.96,1042.23,0,0,1042.23,4,Socio,42,Cliente nivel 1,QRO
133,135,0,0,2200,1100,1100,0,2289.32,1100,1189.32,0,4,Socio,32,Cliente nivel 1,QRO
134,136,1450.52,2280.02,4341.03,1439.99,1450.52,1450.52,3033.52,1577.88,1455.6,0.04,4,Socio,54,Cliente nivel 1,QRO
135,137,0,0,1450,0,0,1450,1706.83,0,0,1706.83,4,Socio,64,Cliente nivel 1,QRO
136,138,1350,2534.55,8039,2700,2653,2686,6834.12,2715.88,2667.7,1450.54,4,Socio,31,Cliente nivel 1,QRO
137,139,0,0,3107,3107,0,0,3107,3107,0,0,4,Socio,31,Cliente nivel 1,QRO
138,140,0,0,93750,22500,37500,33750,94603.64,22500,37506.56,34597.08,1,Socio,31,Cliente nivel 1,CDMX
139,141,0,0,3867,279,2034,1554,4129.77,279.24,2151.78,1698.75,3,Socio,43,Cliente nivel 1,LEON
140,142,0,0,58.87,58.87,0,0,0.77,0.77,0,0,1,Socio,37,Cliente nivel 1,CDMX
141,143,0,0,4019,1750,804,1465,4177.69,1750,810.29,1617.4,10,Socio,32,Cliente nivel 1,TOL
142,144,0,0,4778.88,1306,1440.88,2032,5127.13,1398.64,1506.52,2221.97,16,Socio,36,Cliente nivel 1,BCS
143,145,0,0,55242.4,15136,27199.5,12906.9,55256.02,15136,27213.12,12906.9,4,Socio,37,Cliente nivel 1,QRO
144,146,0,0,93449.61,34397.61,29306,29746,93463.56,34397.61,29309.58,29756.37,6,Socio,26,Cliente nivel 1,PUE
145,147,0,0,1473,747,227,499,1746.36,885.64,269.08,591.64,6,Empleado,46,Empleado,PUE
146,148,0,0,4250,1700,0,2550,4250,1700,0,2550,11,Socio,55,Cliente nivel 1,TIJ
147,149,0,0,2085,2085,0,0,2458.09,2458.09,0,0,11,Empleado,37,Empleado,TIJ
148,150,0,0,12600,4200,4200,4200,13434.68,4492.99,4245.73,4695.96,12,Socio,32,Cliente nivel 1,GTO
149,151,0,0,5288,0,2036,3252,5289.43,0,2036.62,3252.81,12,Socio,38,Cliente nivel 1,GTO
150,152,0,0,8528,0,5150,3378,8528,0,5150,3378,12,Socio,31,Cliente nivel 1,GTO
151,153,0,0,3586,1200,1188,1198,3743.32,1202.09,1260.17,1281.06,12,Socio,38,Cliente nivel 1,GTO
152,154,0,0,58230,14517,23279,20434,58232.99,14517,23281.99,20434,13,Socio,37,Cliente nivel 1,OAX
153,155,0,0,8460,2086,2285,4089,8463.66,2087.56,2286.05,4090.05,13,Socio,38,Cliente nivel 1,OAX
154,156,0,0,1550,0,0,1550,1550,0,0,1550,13,Socio,54,Cliente nivel 1,OAX
155,157,0,0,836,0,836,0,845.1,0,845.1,0,13,Socio,41,Cliente nivel 1,OAX
156,158,0,0,14747,3349,4751,6647,14960.2,3452.88,4751,6756.32,13,Socio,37,Cliente nivel 1,OAX
157,159,0,0,6865,2277,2300,2288,7373.64,2412.19,2460.45,2501,13,Socio,34,Cliente nivel 1,OAX
158,160,0,0,4976,3100,917,959,5061.12,3100,1002.12,959,13,Socio,65,Cliente nivel 1,OAX
159,161,0,0,6174,884,4577,713,6178.26,884.77,4580.49,713,13,Socio,56,Cliente nivel 1,OAX
160,162,0,0,3716,1400,1400,916,3716,1400,1400,916,13,Socio,50,Cliente nivel 1,OAX
161,163,0,0,707,0,707,0,707,0,707,0,13,Socio,42,Cliente nivel 1,OAX
162,164,0,0,5793,2094,950,2749,5949.73,2094,950.83,2904.9,13,Socio,44,Cliente nivel 1,OAX
163,165,0,0,6228,2501,927,2800,6329.48,2503.1,927.81,2898.57,13,Socio,47,Cliente nivel 1,OAX
164,166,0,0,12133,9633,0,2500,12365,9633,0,2732,13,Socio,47,Cliente nivel 1,OAX
165,167,0,0,14028,9678,0,4350,14781.78,10083.23,0,4698.55,13,Socio,35,Cliente nivel 1,OAX
166,168,0,0,44793.5,11200,22393.5,11200,45365.98,11772.48,22393.5,11200,13,Socio,37,Cliente nivel 1,OAX
167,169,0,0,15388,7000,0,8388,15714.62,7326.62,0,8388,13,Socio,42,Cliente nivel 1,OAX
168,170,0,0,5500,1100,1100,3300,5514.81,1100.96,1111.85,3302,13,Socio,60,Cliente nivel 1,OAX
169,171,476.1,1027.3,750,0,0,750,300,0,0,300,13,Socio,46,Cliente nivel 1,OAX
170,172,0,0,3566,2400,0,1166,4320.91,2513.38,0,1807.53,13,Socio,46,Cliente nivel 1,OAX
171,173,0,0,1267,0,690,577,1267,0,690,577,13,Socio,42,Cliente nivel 1,OAX
172,174,0,0,10424,2174,3300,4950,10543.68,2293.68,3300,4950,13,Socio,39,Cliente nivel 1,OAX
173,175,0,0,1098,1098,0,0,1219.37,1219.37,0,0,13,Socio,39,Cliente nivel 1,OAX
174,176,0,0,2588,1288,0,1300,2620.65,1289.13,0,1331.52,13,Socio,37,Cliente nivel 1,OAX
175,177,0,0,1500,0,750,750,1500,0,750,750,16,Socio,29,Cliente nivel 1,BCS
176,178,0,0,7719,2943,1176,3600,7871.74,2946.41,1177.03,3748.3,16,Socio,35,Cliente nivel 1,BCS
177,179,0,0,2418.56,1206,1212.56,0,2611.6,1297.41,1314.19,0,7,Socio,42,Cliente nivel 1,AGS
178,180,0,0,4792,2500,0,2292,5157.71,2678.86,0,2478.85,3,Socio,55,Cliente nivel 1,LEON
179,181,0,0,700,0,0,700,765,0,0,765,3,Socio,34,Cliente nivel 1,LEON
180,182,0,0,6617,2519,4098,0,7008.57,2722.64,4285.93,0,3,Socio,35,Cliente nivel 1,LEON
181,183,0,0,7351.4,2075.88,2637.76,2637.76,7586.93,2075.88,2637.76,2873.29,4,Socio,53,Cliente nivel 1,QRO
182,184,0,0,14508,7735,4265,2508,14513.06,7740.06,4265,2508,7,Socio,31,Cliente nivel 1,AGS
183,185,0,0,6597,1797,2725,2075,6811.03,1797,2939.03,2075,4,Socio,53,Cliente nivel 1,QRO
184,186,0,0,2881.32,815.66,815.66,1250,2884.52,818.52,815.66,1250.34,4,Socio,52,Cliente nivel 1,QRO
185,187,0,0,11678.5,3928.5,3300,4450,11678.5,3928.5,3300,4450,4,Socio,42,Cliente nivel 1,QRO
186,188,0,0,850,0,0,850,924.62,0,0,924.62,4,Socio,35,Cliente nivel 1,QRO
187,189,0,0,3283.5,2200,1083.5,0,3485.84,2303.32,1182.52,0,4,Socio,33,Cliente nivel 1,QRO
188,190,0,0,881,0,226,655,944.88,0,226.79,718.09,7,Socio,45,Cliente nivel 1,AGS
189,191,0,0,6852.84,2238,1813,2801.84,7461.67,2370.61,1909.43,3181.63,10,Socio,50,Cliente nivel 1,TOL
190,192,0,0,6781,2350,2081,2350,6781,2350,2081,2350,4,Socio,43,Cliente nivel 1,QRO
191,193,0,0,12482.73,6299.82,3033,3149.91,13740.4,6310.84,3338.72,4090.84,4,Socio,50,Cliente nivel 1,QRO
192,194,0,0,7246.16,1718,4349.16,1179,7255.08,1726.92,4349.16,1179,4,Socio,40,Cliente nivel 1,QRO
193,195,0,0,4596,1549,1550,1497,4737.12,1549,1550,1638.12,5,Socio,38,Cliente nivel 1,ECA
194,196,0,0,3077,0,3077,0,3648.04,0,3648.04,0,8,Empleado,39,Empleado,JAL
195,197,0,0,4200,2100,2100,0,4200,2100,2100,0,8,Socio,36,Cliente nivel 1,JAL
196,198,0,0,3508.76,727,1006.88,1774.88,3583.28,794.48,1010.4,1778.4,5,Socio,29,Cliente nivel 1,ECA
197,199,0,0,4642.5,895,3747.5,0,4643.3,895,3748.3,0,5,Socio,32,Cliente nivel 1,ECA
198,200,0,0,7400,0,0,7400,7400,0,0,7400,5,Socio,43,Cliente nivel 1,ECA
199,201,0,0,1162.08,0,581.04,581.04,1237.19,0,615.71,621.48,8,Socio,34,Cliente nivel 1,JAL
200,202,0,0,6793.08,2264.36,2264.36,2264.36,7216.99,2425.85,2266.14,2525,6,Socio,50,Cliente nivel 1,PUE
201,203,0,0,1177,1177,0,0,1368.1,1368.1,0,0,7,Empleado,34,Empleado,AGS
202,204,0,0,2045,1100,945,0,2148.04,1203.04,945,0,6,Socio,36,Cliente nivel 1,PUE
203,205,0,0,3914,901,1213,1800,4061.45,901.69,1213,1946.76,11,Socio,35,Cliente nivel 1,TIJ
204,206,0,0,14864.6,6138.8,2587,6138.8,14864.6,6138.8,2587,6138.8,7,Socio,42,Cliente nivel 1,AGS
205,207,0,0,2100,1050,1050,0,2302.63,1139.96,1162.67,0,12,Socio,44,Cliente nivel 1,GTO
206,208,0,0,7214,0,0,7214,7217.74,0,0,7217.74,12,Socio,54,Cliente nivel 1,GTO
207,209,0,0,10600,5300,0,5300,11096.22,5300,0,5796.22,13,Socio,39,Cliente nivel 1,OAX
208,210,0,0,3310,749,1087,1474,3484.08,818.86,1087.95,1577.27,13,Socio,38,Cliente nivel 1,OAX
209,211,0,0,4744,817,3927,0,4887.01,817,4070.01,0,13,Socio,60,Cliente nivel 1,OAX
210,212,0,0,950,950,0,0,1074.03,1074.03,0,0,13,Socio,40,Cliente nivel 1,OAX
211,213,0,0,2850,0,0,2850,3107.33,0,0,3107.33,13,Socio,54,Cliente nivel 1,OAX
212,214,0,0,2016,1116,900,0,2038.61,1116.79,921.82,0,13,Socio,41,Cliente nivel 1,OAX
213,215,0,0,24200,6050,6050,12100,24246.15,6050,6054.49,12141.66,13,Socio,34,Cliente nivel 1,OAX
214,216,0,0,3565,2022,568,975,3668.58,2074.78,598,995.8,13,Socio,38,Cliente nivel 1,OAX
215,217,0,0,2902,1752,1150,0,3008.72,1752,1256.72,0,13,Socio,39,Cliente nivel 1,OAX
216,218,0,0,12997,2350,4151,6496,12997,2350,4151,6496,13,Socio,56,Cliente nivel 1,OAX
217,219,0,0,4770.46,722.46,1350,2698,4824.36,776.36,1350,2698,13,Socio,29,Cliente nivel 1,OAX
218,220,0,0,1600,0,1600,0,1600,0,1600,0,13,Socio,49,Cliente nivel 1,OAX
219,221,0,0,14748,0,8400,6348,14748,0,8400,6348,14,Socio,55,Cliente nivel 1,TAB
220,222,0,0,9072,0,4471,4601,9072,0,4471,4601,14,Socio,53,Cliente nivel 1,TAB
221,223,0,0,6460,1782,2400,2278,6675.97,1782.96,2400.47,2492.54,14,Socio,55,Cliente nivel 1,TAB
222,224,0,0,1150,0,1150,0,1150,0,1150,0,14,Socio,33,Cliente nivel 1,TAB
223,225,0,0,3313,1150,1013,1150,3456.58,1229.05,1060.09,1167.44,14,Socio,28,Cliente nivel 1,TAB
224,226,0,0,16612,0,9812,6800,16616.05,0,9816.05,6800,14,Socio,35,Cliente nivel 1,TAB
225,228,0,0,6830,1250,3080,2500,6958.54,1250.62,3081.03,2626.89,10,Socio,47,Cliente nivel 1,TOL
226,229,0,0,999,999,0,0,1240.9,1240.9,0,0,4,Socio,33,Cliente nivel 1,QRO
227,230,0,0,15000,7500,0,7500,15518.83,8018.83,0,7500,4,Socio,39,Cliente nivel 1,QRO
228,231,0,0,6474.56,2348.28,2348.28,1778,6751.07,2348.28,2459.79,1943,5,Socio,34,Cliente nivel 1,ECA
229,232,0,0,7934,0,2847,5087,8317.61,0,2856.96,5460.65,1,Socio,34,Cliente nivel 1,CDMX
230,233,0,0,6758,3058,1850,1850,6981.14,3058.65,1851.23,2071.26,1,Socio,41,Cliente nivel 1,CDMX
231,234,0,0,6814.45,1671.45,3201,1942,6952.44,1674.29,3201,2077.15,1,Socio,47,Cliente nivel 1,CDMX
232,235,0,0,1400,0,1400,0,1508.29,0,1508.29,0,1,Socio,36,Cliente nivel 1,CDMX
233,236,0,0,1471.04,28.05,1442.99,0,1613.6,28.05,1585.55,0,16,Socio,47,Cliente nivel 1,BCS
234,237,0,0,3905,1003,1168,1734,3908.51,1006.51,1168,1734,1,Socio,40,Cliente nivel 1,CDMX
235,238,0,0,4893,418,879,3596,5156.88,418,976.92,3761.96,1,Socio,56,Cliente nivel 1,CDMX
236,239,0,0,12109.2,3927.7,0,8181.5,12109.2,3927.7,0,8181.5,1,Socio,42,Cliente nivel 1,CDMX
237,240,0,0,1388,0,739,649,1448.24,0,739,709.24,1,Empleado,28,Empleado,CDMX
238,241,0,0,1985.16,0,163,1822.16,2107.8,0,163.14,1944.66,1,Socio,51,Cliente nivel 1,CDMX
